SEMANA,DÍA EN NÚMERO DE LA SEMANA,DÍA DE LA SEMANA,MES,NOMBRE MEDIO,TIER,CORRESPONSAL 1,CORRESPONSAL 2,ENCABEZADO,TEMA,TEMA 2,PALABRA CLAVE,COYUNTURA,ACTOR OFICIAL 1,ACTOR OFICIAL 2,ACTOR OFICIAL 3,ACTOR NO OFICIAL 1,ACTOR NO OFICIAL 2,ACTOR NO OFICIAL 3,ESTADO DE LA REPÚBLICA,ESTADO DE LA REPÚBLICA  2,TENDENCIA,IMPRESA,PRIMERA PLANA,AÑO
1,4,Lunes,Enero,Bloomberg,Agencia,Benjamin Solomon Bain,ND,Mexico Growth Beats Brazil Slowdown as Yield Gap Keeps Widening,Económico,ND,Situación Económica,Coyuntura,Luis Videgaray,China,Brasil,BBVA,Ociel Hernández,Simón Nocera,ND,ND,Positiva,NO,NO,2016
1,4,Lunes,Enero,Bloomberg,Agencia,ND,ND,"Hyundai Motor, Kia Forecast Slowest Sales Growth in 10 Years",Económico,ND,Industria automotriz,Coyuntura,México,Corea del Sur,ND,Hyundai,Kia,Chung Mong,ND,ND,Positiva,NO,NO,2016
1,4,Lunes,Enero,CNN,4,ND,ND,"Alleged cartel kingpin 'La Barbie' to plead guilty, attorney says",Seguridad,ND,Modus operandi,Coyuntura,EUA,DEA,Panamá,Édgar Valdez,Wilmer Parker,El Chapo,Estado de México,ND,Informativa,NO,NO,2016
1,4,Lunes,Enero,CNN en español,4,ND,ND,Narcotraficante alias 'La Barbie' se declarará culpable en EE.UU.,Seguridad,ND,Modus operandi,Coyuntura,FBI,DEA,EUA,Édgar Valdez,El Chapo,Cártel de los Beltrán Leyva,ND,ND,Informativa,NO,NO,2016
1,4,Lunes,Enero,CNN en español,4,ND,ND,Monterrey: atrapada en un ciclo de violencia interminable,Seguridad,ND,Modus operandi,Coyuntura,EUA,ND,ND,Tom King,ND,ND,Nuevo León,ND,Negativa,NO,NO,2016
1,4,Lunes,Enero,CNN en español,4,ND,ND,"Asesinato de alcaldesa pretende amedrentar a otros en la zona, dice gobernador de Morelos",Seguridad,Político,Amenazas del Narco,Coyuntura,Gisela Mota,Graco Ramírez,Cuauhtémoc Blanco,ND,ND,ND,Morelos,Distrito Federal,Negativa,NO,NO,2016
1,4,Lunes,Enero,Bloomberg,Agencia,ND,ND,The World's Five Richest People Lost $8.7 Billion in Monday's Selloff,Económico,ND,Carlos Slim,Coyuntura,ND,ND,ND,Carlos Slim,Bill Gates,Jeff Bezos,ND,ND,Informativa,NO,NO,2016
1,4,Lunes,Enero,CNN,4,ND,ND,"Trump's first ad features Morocco, not Mexico",Político,ND,Elecciones EE.UU.,Coyuntura,México,EUA,Marruecos,Donald Trump,ND,ND,ND,ND,Negativa,NO,NO,2016
1,4,Lunes,Enero,MSNBC,3,ND,ND,"Trump ad fact checked for Mexican border footage, campaign says ‘no sh–’",Político,ND,Elecciones EE.UU.,Coyuntura,México,EUA,Marruecos,Donald Trump,PolitiFact,NBC News,ND,ND,Negativa,NO,NO,2016
1,4,Lunes,Enero,Fusion,2,ND,ND,Donald Trump’s campaign video uses footage from a border in Morocco to talk about Mexico,Político,ND,Elecciones EE.UU.,Coyuntura,México,EUA,Marruecos,Donald Trump,PolitiFact,NBC News,ND,ND,Negativa,NO,NO,2016
1,4,Lunes,Enero,Univision,4,ND,ND,El primer anuncio de Donald Trump usa imágenes de Marruecos como si fuera México,Político,ND,Elecciones EE.UU.,Coyuntura,México,EUA,Marruecos,Donald Trump,PolitiFact,Hope Hicks,ND,ND,Negativa,NO,NO,2016
1,4,Lunes,Enero,Fox News,4,ND,ND,Trump criticized for campaign ad showing ‘southern border’ using footage of Morocco,Político,ND,Elecciones EE.UU.,Coyuntura,México,EUA,Marruecos,Donald Trump,PolitiFact,ND,ND,ND,Negativa,NO,NO,2016
